-,-,-
-11, -153, 1670
78, -78, 1741
132, -34, 1795
-8, 73, 1677
-39, 77, 1440
-31, 42, 1234
-31, 42, 1234
12, -7, 1149
44, -4, 1118
101, 7, 992
101, 7, 992
85, 4, 937
-10, 59, 921
-10, 59, 921
-24, 44, 824
0, -14, 715
-56, 30, 705
-56, 30, 705
-132, 72, 669
-139, 56, 597
-103, 37, 553
-71, 18, 527
-71, 18, 527
-72, -9, 493
-79, -48, 462
-100, -109, 353
-164, -130, 263
-164, -130, 263
-166, -142, 210
-125, -100, 180
-99, -48, 212
-214, -15, 337
-185, -90, 366
-65, -174, 298
-96, -188, 510
-,-,-
-4, 0, 1212
-4, 0, 1212
9, 2, 1195
-28, 15, 1194
-28, 15, 1194
-61, 28, 1246
-72, -10, 1285
-94, -41, 1384
-110, -103, 1530
-105, -144, 1683
-73, -109, 1854
-64, -52, 1984
-64, -52, 1984
-88, -87, 1978
-79, -191, 1790
-70, -228, 1500
-100, -253, 1254
-108, -249, 1060
-41, -203, 839
32, -108, 722
-7, 4, 642
-7, 4, 642
-29, 39, 474
-15, 54, 352
-15, 54, 352
-23, 132, 314
-87, 155, 274
-142, 156, 237
-158, 141, 270
-158, 141, 270
-156, 85, 236
-163, 11, 172
-156, -25, 160
-142, -16, 211
-66, -8, 315
-66, -8, 315
-66, -49, 407
-132, -153, 495
-56, -204, 640
112, -260, 805
179, -174, 1067
213, -47, 1444
-,-,-
-13, -118, 983
24, -142, 1044
-49, -97, 1208
-71, -152, 1412
-103, -240, 1717
-107, -289, 1997
-111, -179, 1998
-127, -145, 1998
-193, -161, 1998
-262, -120, 1841
-262, -98, 1509
-246, -94, 1205
-246, -94, 1205
-204, -33, 969
-111, 14, 751
-43, 63, 527
-48, 95, 308
-59, 133, 239
-59, 133, 239
-33, 152, 212
-51, 166, 222
-43, 137, 209
-20, 151, 168
-20, 151, 168
-57, 164, 189
-52, 122, 216
-12, 43, 250
-12, -11, 270
-12, -11, 270
-16, -54, 314
-,-,-
9, -67, 974
34, -80, 1046
0, -61, 1096
27, -62, 1297
27, -62, 1297
35, -133, 1474
48, -187, 1703
81, -156, 1961
35, -72, 1998
-21, -23, 1998
-21, -23, 1998
-48, -7, 1977
-119, -2, 1777
-147, 0, 1500
-111, -34, 1257
-111, -76, 1029
-105, -54, 897
-105, -54, 897
-55, 0, 742
-45, 30, 587
-60, 17, 411
-83, 44, 354
-83, 44, 354
-82, 49, 286
-67, 59, 227
-51, 60, 196
-51, 60, 196
-100, 84, 194
-148, 77, 239
-119, 16, 222
-119, 16, 222
-61, -11, 250
-17, -36, 290
4, -27, 460
-6, -78, 518
-6, -78, 518
-47, -134, 557
20, -143, 690
97, -103, 852
-,-,-
-7, -83, 938
54, -107, 1045
-10, -62, 1261
-4, -119, 1399
37, -198, 1589
92, -177, 1858
92, -177, 1858
78, -102, 1998
76, -64, 1998
63, -40, 1998
38, -22, 1884
-23, -15, 1623
-64, -15, 1412
-64, -6, 1412
-5, -44, 1189
36, -37, 1028
10, 16, 889
10, 16, 889
-1, 3, 641
17, -20, 439
53, 7, 362
53, 7, 362
65, 15, 348
25, 45, 354
25, 45, 354
27, 61, 346
52, 66, 317
52, 66, 317
41, 83, 304
-22, 66, 323
-28, 30, 325
-28, 30, 325
-3, -3, 330
-40, -53, 336
-126, -90, 348
-126, -90, 348
-171, -91, 463
-122, -108, 567
-50, -117, 630
-73, -145, 698
-35, -197, 772
96, -224, 872
-,-,-
0, -100, 1055
27, -117, 1160
20, -126, 1320
80, -196, 1493
124, -179, 1661
142, -138, 1798
142, -138, 1798
157, -95, 1886
182, -107, 1857
188, -147, 1745
161, -145, 1587
131, -123, 1439
86, -110, 1259
58, -92, 1095
42, -92, 959
42, -92, 959
18, -102, 784
0, -68, 626
0, -13, 528
0, -13, 528
12, -5, 431
-11, 48, 450
-11, 48, 450
-35, 110, 460
-32, 120, 412
-27, 92, 354
-25, 43, 340
-25, 43, 340
0, 1, 357
55, -40, 381
55, -40, 381
72, -63, 397
40, -104, 421
23, -159, 538
72, -188, 624
72, -188, 624
81, -165, 684
-2, -166, 768
-4, -141, 969
94, -145, 1010
94, -145, 1010
79, -175, 938
-39, -193, 967
-,-,-
46, -130, 1088
-35, -70, 1273
-35, -70, 1273
-53, -140, 1415
-26, -171, 1502
28, -141, 1630
108, -77, 1843
148, -82, 1981
141, -183, 1853
121, -260, 1617
114, -260, 1390
114, -258, 1390
82, -208, 1199
70, -117, 1082
63, -28, 958
79, -8, 774
68, 10, 609
68, 10, 609
40, 56, 522
44, 83, 485
44, 83, 485
42, 103, 490
18, 88, 496
18, 88, 496
6, 48, 470
3, 0, 443
3, 0, 443
-13, -72, 414
-19, -144, 379
6, -207, 371
6, -207, 371
16, -239, 390
1, -249, 448
-50, -263, 489
-101, -263, 469
-,-,-
-55, -119, 923
-55, -119, 923
-98, -72, 1070
-75, -130, 1197
-41, -216, 1372
-37, -263, 1638
-53, -196, 1940
-20, -141, 1998
4, -132, 1991
-22, -80, 1911
-22, -80, 1911
-69, -47, 1717
-78, -28, 1471
-58, -43, 1194
-50, -58, 964
-43, -52, 813
-43, -52, 813
-24, -16, 707
9, 26, 600
32, 49, 537
32, 49, 537
15, 60, 482
10, 70, 456
23, 63, 413
23, 63, 413
48, 55, 404
50, 37, 391
50, 37, 391
27, -18, 359
17, -105, 331
20, -152, 320
20, -152, 320
-,-,-
-76, -120, 1103
13, -216, 1231
-30, -168, 1495
40, -236, 1685
84, -267, 1867
84, -267, 1867
103, -216, 1995
133, -190, 1949
135, -200, 1797
97, -164, 1651
63, -126, 1468
44, -114, 1286
10, -85, 1103
10, -85, 1103
6, -71, 905
30, -41, 745
7, 12, 656
7, 12, 656
-24, 35, 543
-24, 22, 447
3, 12, 368
3, 12, 368
14, 24, 347
14, 24, 347
23, 19, 348
27, -16, 325
11, -34, 335
11, -34, 335
10, -48, 355
47, -102, 351
55, -155, 392
28, -141, 480
28, -141, 480
21, -164, 548
41, -214, 621
18, -237, 697
8, -253, 774
8, -253, 774
45, -300, 861
97, -303, 965
84, -239, 1050
53, -173, 1053
53, -173, 1053
94, -168, 1070
144, -145, 1166
116, -85, 1252
94, -36, 1323
-,-,-
-86, -211, 1480
-21, -200, 1631
14, -160, 1815
65, -179, 1835
85, -100, 1841
112, -45, 1778
112, -45, 1778
115, -36, 1628
107, -72, 1430
105, -114, 1231
84, -150, 1064
55, -125, 990
25, -74, 936
25, -74, 936
-4, -37, 831
-6, -35, 693
7, -60, 589
7, -60, 589
-3, -53, 562
-16, -26, 537
-1, -23, 556
-1, -23, 556
11, -21, 557
17, -38, 535
16, -51, 514
16, -51, 514
-5, -88, 491
-15, -133, 461
22, -145, 430
50, -146, 421
50, -146, 421
15, -132, 456
-37, -129, 482
-14, -155, 527
-5, -204, 565
-31, -198, 588
-31, -198, 588
-61, -195, 636
13, -229, 710
96, -230, 850
79, -206, 968
4, -192, 957
4, -192, 957
30, -179, 1129
206, -219, 1312
245, -125, 1412
185, -13, 1502
175, 24, 1568
175, 24, 1568
221, 56, 1610
189, 134, 1683
127, 197, 1694
110, 244, 1652
108, 277, 1607
-,-,-
-110, -182, 1328
-129, -202, 1432
-129, -148, 1561
-105, -125, 1680
-71, -134, 1710
-71, -134, 1710
-11, -176, 1694
43, -180, 1688
71, -199, 1563
79, -234, 1413
79, -197, 1353
68, -164, 1225
56, -132, 1081
56, -132, 1081
49, -74, 980
50, -41, 866
46, -28, 762
30, -24, 678
30, -24, 678
35, -57, 573
38, -65, 532
33, -57, 508
33, -57, 508
21, -75, 475
35, -110, 458
28, -103, 497
28, -103, 497
3, -120, 489
-10, -165, 476
8, -197, 470
27, -199, 459
27, -199, 459
19, -184, 459
-33, -179, 458
-68, -205, 451
-76, -182, 557
-101, -159, 626
-83, -186, 606
-83, -186, 606
-60, -222, 638
-16, -216, 824
15, -172, 910
-2, -162, 822
4, -147, 880
4, -147, 880
93, -177, 1064
198, -190, 1113
175, -104, 1201
104, -68, 1371
-,-,-
-226, -193, 1172
-185, -199, 1214
-192, -157, 1365
-153, -147, 1478
-147, -38, 1582
-102, 46, 1634
-35, 30, 1640
-2, 3, 1679
-2, 3, 1679
24, -47, 1637
35, -138, 1536
35, -215, 1418
34, -240, 1253
29, -208, 1134
29, -208, 1134
21, -140, 1078
2, -106, 904
-18, -85, 740
-9, -33, 657
-9, -33, 657
-9, -3, 620
-35, 20, 622
-45, 49, 592
-45, 49, 592
-36, 46, 546
-37, 36, 554
-35, 27, 538
-35, 27, 538
-47, 16, 522
-43, -32, 502
-15, -96, 494
14, -122, 500
14, -122, 500
18, -126, 513
-29, -129, 519
-63, -154, 524
-81, -161, 550
-85, -148, 581
-85, -148, 581
-62, -120, 649
-49, -120, 726
-7, -158, 712
47, -158, 786
112, -112, 990
112, -112, 990
159, -125, 1094
137, -150, 1054
148, -147, 1234
-,-,-
-166, -66, 994
-167, -86, 1082
-144, -95, 1194
-120, -38, 1394
-107, 31, 1595
-107, 31, 1595
-102, 60, 1731
-81, 82, 1850
-33, 64, 1856
-16, 18, 1745
-25, -15, 1607
-25, -15, 1607
-35, -60, 1438
-11, -85, 1294
23, -63, 1227
13, -48, 1121
-9, -62, 975
-9, -62, 975
-8, -86, 853
16, -66, 771
45, -30, 756
45, -30, 756
61, 13, 769
45, 30, 694
45, 36, 599
45, 36, 599
48, 19, 515
61, 0, 477
61, 0, 477
70, -24, 439
75, -30, 421
75, -30, 421
48, -35, 415
22, -65, 391
20, -102, 357
20, -127, 338
20, -127, 338
-19, -120, 368
-57, -92, 438
-91, -125, 483
-82, -143, 513
-92, -90, 602
-92, -90, 602
-73, -9, 750
-,-,-
-191, -132, 1058
-188, -116, 1224
-175, -110, 1430
-156, -88, 1667
-156, -88, 1667
-115, -40, 1884
-97, -2, 1974
-87, 4, 1961
-88, -9, 1948
-61, -13, 1856
-61, -13, 1856
-28, -30, 1685
-18, -73, 1444
-18, -73, 1254
0, -52, 1138
8, -71, 988
8, -71, 988
5, -57, 856
-3, -54, 745
3, -48, 627
3, -48, 627
8, -35, 539
14, -44, 485
14, -44, 485
32, -74, 516
30, -79, 550
22, -69, 528
22, -69, 528
24, -81, 475
19, -120, 459
-12, -143, 514
-23, -159, 504
-23, -159, 504
-13, -186, 462
-31, -206, 433
-75, -188, 437
-85, -149, 441
-77, -134, 458
-65, -139, 515
-65, -139, 515
-76, -148, 586
-66, -117, 611
-19, -68, 726
54, -83, 826
90, -83, 832
90, -83, 832
80, -48, 811
127, -70, 1019
223, -46, 1309
-,-,-
-179, -154, 874
-179, -154, 874
-250, -142, 1187
-263, -213, 1512
-221, -220, 1671
-197, -108, 1802
-199, -22, 1970
-162, 26, 1998
-107, 67, 1965
-90, 64, 1862
-71, 5, 1704
-71, 5, 1704
-70, -36, 1510
-50, -93, 1313
-23, -100, 1176
-29, -89, 1091
-21, -94, 941
-16, -66, 803
-16, -66, 803
8, -34, 678
29, -38, 562
33, -31, 485
33, -31, 485
39, -13, 477
53, 0, 418
44, 0, 399
44, 17, 399
36, 20, 378
52, 7, 372
52, 7, 372
56, -11, 383
49, -49, 390
49, -49, 390
41, -91, 386
19, -121, 382
-9, -132, 366
-9, -132, 366
-7, -127, 432
32, -149, 542
38, -198, 600
-11, -204, 655
10, -157, 770
10, -157, 770
97, -155, 766
92, -129, 808
19, -107, 958
72, -116, 1177
-,-,-
-306, -176, 1038
-297, -179, 1280
-350, -146, 1620
-297, -94, 1884
-266, -14, 1997
-227, 53, 1998
-172, 79, 1998
-172, 79, 1998
-111, 68, 1898
-60, 84, 1706
-41, 100, 1580
-42, 118, 1449
-37, 108, 1243
-27, 103, 1073
-27, 103, 1073
-24, 69, 944
-11, 37, 814
2, 9, 681
2, 9, 681
0, -4, 584
-6, -17, 471
-6, -17, 471
-7, -8, 387
-8, 14, 320
-9, 23, 265
-9, 23, 265
-7, 7, 205
-22, 0, 199
-22, 0, 199
-29, 0, 212
-13, -19, 202
-16, -47, 189
-16, -47, 189
-59, -78, 210
-111, -83, 281
-126, -82, 362
-83, -104, 443
-51, -143, 541
-51, -143, 541
-24, -128, 739
28, -112, 885
115, -92, 1039
166, -107, 1309
-,-,-
-185, 39, 1768
-143, 80, 1758
-109, 168, 1924
-44, 159, 1872
4, 107, 1667
23, 80, 1532
23, 80, 1532
43, 25, 1437
66, -23, 1306
57, -58, 1214
57, -58, 1214
71, -66, 1132
78, -53, 996
61, -1, 891
61, -1, 891
34, 2, 763
28, 20, 615
28, 32, 528
28, 32, 528
33, 51, 465
42, 20, 358
42, 20, 358
59, -2, 293
63, -4, 289
63, -4, 289
50, -17, 292
25, -50, 286
15, -97, 288
15, -97, 288
22, -139, 305
5, -179, 313
-29, -155, 391
-46, -153, 456
-46, -153, 456
-78, -179, 536
-119, -190, 659
-114, -176, 718
-89, -168, 732
-58, -141, 824
-61, -121, 923
-67, -98, 910
-67, -98, 910
35, -127, 911
118, -128, 1099
119, -35, 1357
-,-,-
-190, -93, 1099
-215, -152, 1177
-272, -80, 1408
-186, -52, 1658
-149, -37, 1771
-110, 19, 1948
-56, 82, 1998
-9, 66, 1970
-9, 66, 1970
16, 32, 1848
40, 7, 1721
45, -6, 1560
45, -6, 1560
26, -33, 1389
14, -45, 1195
35, -71, 1003
65, -47, 889
65, -47, 889
52, 23, 821
27, 43, 688
9, 36, 535
9, 36, 535
-16, 51, 455
-11, 77, 422
-11, 77, 422
18, 128, 406
20, 150, 380
0, 110, 340
0, 110, 340
-8, 41, 297
5, 3, 289
5, 3, 289
28, -35, 319
32, -41, 338
32, -41, 338
-5, -46, 393
-23, -91, 419
-18, -100, 472
-39, -102, 543
-39, -102, 543
-72, -137, 601
-79, -137, 659
-44, -122, 651
31, -153, 776
45, -193, 991
45, -193, 991
21, -163, 1153
-,-,-
-170, -67, 880
-186, -51, 1069
-170, -21, 1341
-167, -69, 1645
-183, -39, 1900
-142, 32, 1998
-142, 32, 1998
-95, 66, 1998
-52, 76, 1998
-1, 111, 1957
-10, 154, 1739
-28, 115, 1480
-28, 115, 1480
-42, 51, 1209
-38, 39, 974
-30, 69, 878
-60, 62, 725
-60, 62, 725
-81, 19, 559
-85, 1, 448
-90, 12, 424
-90, 12, 424
-95, 49, 417
-82, 40, 373
-59, 37, 317
-59, 37, 317
-54, 23, 272
-52, -11, 247
-25, -54, 252
-25, -54, 252
-10, -73, 277
-14, -98, 297
-8, -144, 327
-42, -139, 406
-42, -139, 406
-64, -122, 501
-91, -131, 561
-140, -100, 655
-122, -72, 742
-27, -69, 764
57, -55, 807
57, -55, 807
61, 28, 971
34, 101, 1158
152, 93, 1320
152, 93, 1320
247, 86, 1461
-,-,-
-223, -89, 855
-249, -43, 1057
-308, 87, 1430
-251, 87, 1770
-212, 205, 1998
-157, 297, 1998
-61, 277, 1998
-61, 277, 1998
6, 241, 1998
36, 212, 1955
71, 188, 1703
49, 138, 1420
17, 106, 1171
17, 106, 1171
13, 70, 952
21, 66, 811
42, 79, 690
42, 79, 690
54, 86, 511
49, 95, 396
49, 95, 396
7, 96, 372
-23, 92, 364
-23, 92, 364
-25, 64, 321
-48, 65, 296
-55, 91, 294
-55, 91, 294
-57, 103, 297
-71, 63, 272
-59, 15, 235
-51, -16, 232
-51, -16, 232
-68, -40, 286
-105, -48, 347
-107, -41, 420
-82, -99, 427
-82, -99, 427
-85, -178, 477
-14, -193, 583
120, -186, 779
-,-,-
-176, -3, 1084
-222, 162, 1570
-222, 162, 1570
-240, 266, 1982
-160, 327, 1998
-37, 230, 1998
35, 148, 1998
60, 174, 1998
106, 198, 1896
74, 206, 1533
74, 206, 1533
6, 149, 1205
-50, 137, 1005
-49, 131, 843
14, 167, 689
14, 167, 689
55, 216, 607
71, 218, 541
46, 185, 490
46, 185, 490
25, 163, 426
-38, 129, 300
-57, 63, 218
-57, 63, 218
-74, 12, 178
-78, -41, 148
-58, -96, 133
-9, -123, 134
-9, -123, 134
10, -134, 193
-17, -153, 263
-76, -137, 311
-111, -89, 367
-101, -69, 496
-101, -69, 496
-94, -81, 615
-114, -68, 584
-99, -34, 539
-31, -32, 803
61, 2, 1123
61, 2, 1123
18, 106, 1368
-,-,-
-244, -149, 748
-203, -39, 962
-263, 128, 1375
-271, 151, 1649
-229, 253, 1967
-232, 364, 1998
-230, 372, 1998
-230, 372, 1998
-170, 375, 1998
-79, 396, 1991
-26, 364, 1776
-31, 286, 1483
-70, 182, 1174
-95, 107, 876
-90, 35, 672
-90, 35, 672
-92, 17, 521
-57, 40, 492
-14, 52, 363
-14, 52, 363
-23, 56, 323
